timestamp,can_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7
1478191225.327055,0316,8,45,29,24,255,29,24,00,255
1479121508.140339,0316,8,05,62,12,13,62,15,15,124
1479121637.704835,0440,8,255,01,02,00,255,26,05,63
1478198391.738841,0545,8,216,58,00,89,00,00,00,00
1478198543.81643,704,8,14,00,00,00,00,00,00,00
1767709370.070443,399,8,254,54,0,0,0,60,0,0
1478191032.512439,0140,8,00,00,00,00,08,22,47,215
1767709370.114191,704,8,20,0,0,0,0,0,0,0
1767709370.096984,1264,8,0,0,0,128,0,79,3,20
1767709370.187438,1087,8,10,69,96,255,91,75,15,0
1478198529.580835,704,8,14,00,00,00,00,00,00,00
1478198623.922726,0002,8,00,00,00,00,00,03,13,95
1479121632.213611,1087,8,01,45,60,255,63,00,00,00
1478198546.819501,0000,8,00,00,00,00,00,00,00,00
1479121575.852989,0130,8,143,126,00,255,108,127,05,05
1478195722.32133,0370,8,00,20,00,00,00,00,00,00
1478195965.923006,0440,8,255,00,00,00,255,198,08,00
1767709370.144668,672,8,32,0,107,29,1,4,221,0
1767709370.226509,160,8,135,131,24,19,13,38,2,0
1478195961.989525,956,8,63,23,75,191,239,84,186,81
1478191245.145306,0316,8,45,29,24,255,29,24,00,255
1767709370.234231,704,8,20,0,0,0,0,0,0,0
1478191250.692713,0545,8,216,00,00,82,00,00,00,00
1767709370.238822,880,8,0,36,0,0,0,0,0,0
1479121501.297351,672,8,20,00,107,29,01,04,221,00
1767709370.135906,848,8,5,40,244,102,109,0,0,210
1478191037.760177,0545,8,216,00,00,138,00,00,00,00
1767709370.22698,790,8,5,60,48,19,60,23,13,125
1479121659.433775,672,8,00,00,70,29,01,04,221,00
1479121639.554397,1087,8,01,45,60,255,64,254,00,00
1478195721.989649,0131,8,233,127,00,00,76,127,15,65
1767709370.202523,848,8,5,40,180,102,109,0,0,146
1479121603.250691,399,8,254,47,00,00,00,42,00,00
1478195804.227144,0440,8,255,00,00,00,255,214,08,00
1478198668.533301,1201,8,29,27,27,23,00,00,00,154
1479121634.999038,0153,8,00,00,00,255,00,255,00,00
1478195959.58607,0260,8,26,22,22,30,08,142,108,39
1479121559.67449,0131,8,27,80,00,00,184,80,03,44
1478195794.704072,0440,8,255,00,00,00,255,207,08,00
1478198491.216738,0000,8,00,00,00,00,00,00,00,00
1478198776.167139,0002,8,00,00,00,00,00,07,06,189
1478195783.992491,0329,8,40,190,127,14,11,20,00,14
1478195912.130228,0440,8,255,00,00,00,255,204,08,00
1478195781.959097,0019,8,255,91,109,59,242,238,110,85
1478195921.583932,704,8,15,00,00,00,00,00,00,00
1478195818.613629,0329,8,86,191,127,14,11,20,00,14
1478195901.713615,0316,8,05,22,64,09,22,20,00,111
1767709370.181822,848,8,5,40,244,102,109,0,0,210
1478198414.60352,0140,8,00,00,00,00,02,27,28,234
1479121466.470585,0130,8,41,142,00,255,197,82,10,166
1478195961.711669,1222,8,10,14,191,213,169,97,94,220
1767709370.173385,809,8,220,185,126,20,17,39,9,20
1478195782.373173,0260,8,19,22,22,30,08,142,108,58
1478198381.431865,0000,8,00,00,00,00,00,00,00,00
1478191036.521927,0002,8,00,00,00,00,00,08,00,50
1767709370.155171,304,8,50,142,0,255,68,130,7,135
1767709370.137402,790,8,5,48,240,11,48,37,2,125
1479121582.547828,0316,8,05,33,196,11,33,22,05,123
1478198518.811999,0260,8,19,22,22,30,08,143,109,16
1478191092.868543,0350,8,05,20,04,68,73,00,00,58
1478191157.144,0153,8,00,21,10,255,00,255,00,00
1478195772.181988,0329,8,40,189,127,14,11,20,00,14
1478195907.171603,497,8,08,00,00,00,00,00,00,00
1478195788.576336,0153,8,00,21,10,255,00,255,00,00
1478195924.032123,0131,8,251,127,00,00,62,127,12,10
1479121553.414639,0131,8,238,127,00,00,90,83,01,197
1479121639.807996,0002,8,00,00,00,00,00,09,01,01
1479121666.255085,704,8,14,00,00,00,00,00,00,00
1479121652.950171,0545,8,216,00,00,138,00,00,00,00
1478198400.693252,0130,8,16,80,00,255,242,127,09,90
1479121651.09447,1087,8,01,45,60,255,64,00,00,00
1478198580.411754,0350,8,05,20,196,68,78,00,00,241
1767709370.227885,2,8,0,0,0,0,0,3,2,228
1479121677.708496,672,8,20,00,70,29,01,04,221,00
1479121505.410001,0690,8,00,00,00,00,160,21,00,00
1767709370.179644,848,8,5,40,116,102,109,0,0,82
1479121563.765849,0545,8,216,00,00,142,00,00,00,00
1478195955.926804,235,8,236,85,229,43,93,201,21,47
1478198528.378448,0131,8,247,127,00,00,58,127,10,249
1478195969.192667,0370,8,00,20,00,00,00,00,00,00
1478191209.755817,399,8,254,48,00,00,00,60,00,00
1767709370.207878,790,8,5,27,152,16,27,30,14,125
1478195942.330159,399,8,254,59,00,00,00,60,00,00
1478198798.285229,0430,8,00,00,00,00,00,00,00,00
1478198739.424565,1087,8,00,40,60,255,126,190,08,00
1479121487.4407,1264,8,00,42,00,80,00,50,03,14
1479121533.111041,1087,8,03,45,60,255,94,175,10,00
1478191120.000624,399,8,254,43,00,00,00,41,00,00
1478191139.9055,0545,8,216,00,00,138,00,00,00,00
1478198781.759405,0000,8,00,00,00,00,00,00,00,00
1478195853.156576,1087,8,10,40,60,255,125,233,08,00
1767709370.140992,399,8,254,54,0,0,0,76,0,0
1767709370.120094,1087,8,1,69,96,255,91,162,4,0
1478191044.920246,0430,8,00,00,00,00,00,00,00,00
1478191260.433531,399,8,254,61,00,00,00,60,00,00
1478195780.606106,0002,8,00,00,00,00,00,06,05,214
1479121523.806051,0153,8,00,00,00,255,00,255,00,00
1767709370.216199,880,8,0,34,0,0,0,0,0,0
1478195959.090556,0131,8,27,80,00,00,62,127,14,29
1478191059.042834,672,8,20,00,84,29,96,02,189,00
1479121565.534856,0329,8,40,184,127,14,11,20,00,14
1478195780.305436,0545,8,216,00,00,87,00,00,00,00
1767709370.211413,305,8,64,128,0,0,106,127,12,63
1767709370.128686,339,8,0,0,0,255,0,255,0,0
1478195991.464049,0370,8,00,20,00,00,00,00,00,00
1767709370.204187,790,8,5,24,172,18,24,30,15,125
1479121493.703937,0545,8,216,00,00,142,00,00,00,00
1767709370.224173,161,8,130,129,0,0,52,0,0,0
1478191069.958562,0316,8,45,29,24,255,29,24,00,255
1767709370.177388,608,8,7,48,42,48,255,172,212,66
1479121446.718683,160,8,143,82,00,12,04,27,02,00
1479121470.500373,0350,8,05,28,64,66,108,00,00,43
1478191081.208041,0002,8,00,00,00,00,00,01,05,47
1478191239.042331,0329,8,87,191,126,14,11,20,00,14
1478191061.241316,0002,8,00,00,00,00,00,06,08,57
